id,customer_id,product_id,sale_amount,sale_date
174,8423,119,898.02,2023-01-28
175,6219,489,778.66,2023-08-17
176,10807,946,167.84,2023-09-04
177,1940,566,757.38,2023-12-11
178,3511,479,766.74,2023-12-02
179,7231,209,615.86,2023-08-06
180,8064,532,51.28,2023-02-20
181,2686,303,908.74,2023-04-11
182,10275,99,931.27,2023-12-05
183,5761,645,491.26,2023-06-23
184,10486,412,767.61,2023-05-29
185,9580,134,416.74,2023-10-28
186,6864,4,566.32,2023-01-25
187,5253,597,366.83,2023-06-29
188,1812,183,151.71,2023-08-13
189,6673,570,780.34,2023-12-30
190,4154,915,149.08,2023-11-24
191,9609,909,486.69,2023-06-15
192,2557,799,553.06,2023-12-21
193,7044,695,943.58,2023-11-05
194,6024,202,28.73,2023-07-19
195,8651,55,568.91,2023-02-03
196,5194,428,374.46,2023-03-28
197,10470,218,689.69,2023-10-07
198,10260,991,141.20,2023-10-02
199,3798,741,811.74,2023-04-28
200,4682,270,554.78,2023-02-08
201,6321,417,65.97,2023-08-11
202,2888,41,785.92,2023-05-22
203,6102,703,799.53,2023-09-29
204,1355,426,626.91,2023-10-22
205,1805,853,425.63,2023-01-04
206,10692,271,712.13,2023-03-25
207,1781,833,454.47,2023-08-05
208,5529,31,100.07,2023-11-18
209,8165,849,861.32,2023-01-07
210,2532,892,311.32,2023-12-20
211,5794,596,793.81,2023-09-02
212,10162,531,656.43,2023-09-28
213,4487,296,120.62,2023-06-09
214,4894,147,6.74,2023-08-09
215,1691,993,805.26,2023-06-27
216,3518,115,120.51,2023-12-22
217,1013,344,710.63,2023-12-20
218,3810,741,159.73,2023-03-29
219,9133,81,202.37,2023-12-15
220,1259,129,174.44,2023-06-26
221,1345,261,30.53,2023-07-30
222,10258,577,543.22,2023-08-21
223,5119,492,319.96,2023-07-19
224,4819,411,20.27,2023-06-13
225,10743,347,495.68,2023-09-15
226,3638,15,975.79,2023-11-27
227,7061,280,811.17,2023-01-25
228,10639,2,636.24,2023-02-28
229,8075,35,361.00,2023-07-31
230,3591,148,763.43,2023-04-17
231,5457,144,656.86,2023-09-12
232,4511,2,798.62,2023-09-30
233,5587,242,470.70,2023-04-05
234,3897,22,900.14,2023-01-03
235,5631,852,164.31,2023-02-21
236,1447,368,214.42,2023-08-20
237,1565,752,785.02,2023-01-11
238,4154,859,649.26,2023-01-08
239,7285,148,452.75,2023-04-11
240,4819,71,531.73,2023-11-19
241,5432,181,606.28,2023-01-31
242,9118,315,338.82,2023-03-14
243,4220,687,391.83,2023-01-04
244,10329,719,259.71,2023-11-15
245,8850,609,618.22,2023-08-11
246,3820,312,981.96,2023-09-05
247,1024,98,819.92,2023-06-06
248,9924,332,582.80,2023-01-30
249,9297,274,966.15,2023-12-06
250,7668,793,678.69,2023-02-22
251,4555,160,839.91,2023-07-11
252,6341,780,167.19,2023-04-14
253,7389,703,895.03,2023-11-03
254,9201,225,486.33,2023-05-28
255,1473,307,285.25,2023-11-03
256,3216,353,933.90,2023-01-08
257,5903,570,178.04,2023-05-14
258,5243,258,599.59,2023-08-07
259,8324,290,869.69,2023-10-18
260,1617,907,537.67,2023-01-18
261,5271,402,914.21,2023-01-25
262,2114,913,60.66,2023-06-10
263,6127,362,404.37,2023-10-09
264,2573,762,765.68,2023-06-13
265,9410,664,551.64,2023-09-25
266,10445,410,97.44,2023-05-03
267,8747,305,101.16,2023-01-26
268,6028,334,883.79,2023-06-08
269,10364,675,246.94,2023-10-29
270,9175,983,633.35,2023-05-09
271,8284,808,618.48,2023-03-30
272,1548,389,822.22,2023-06-20
273,7250,986,275.11,2023-01-10
274,5655,381,595.50,2023-01-22
275,8093,838,249.31,2023-08-02
276,1892,331,472.62,2023-07-23
277,9564,686,923.08,2023-09-11
278,4586,367,693.53,2023-11-28
279,4964,443,503.50,2023-04-14
280,7197,65,264.65,2023-03-17
281,7534,590,640.35,2023-04-03
282,1580,190,746.43,2023-08-21
283,5017,471,992.02,2023-12-07
284,6911,201,594.51,2023-12-15
285,10156,432,25.72,2023-05-28
286,2453,587,572.70,2023-08-25
287,7094,411,290.62,2023-05-21
288,5922,902,165.47,2023-07-08
289,2812,975,211.95,2023-01-08
290,5805,707,283.53,2023-10-08
291,6848,638,332.55,2023-08-16
292,7610,151,828.20,2023-05-12
293,3884,908,392.59,2023-04-03
294,7734,595,305.36,2023-11-03
295,3004,900,93.22,2023-09-05
296,8024,217,161.79,2023-05-16
297,1740,814,631.69,2023-03-26
298,6250,54,454.87,2023-02-11
299,5068,234,275.05,2023-01-16
300,7532,602,55.15,2023-06-28
301,10886,331,852.17,2023-08-11
302,3641,22,827.15,2023-08-08
303,4290,618,994.13,2023-07-07
304,4604,16,530.54,2023-03-31
305,7247,97,429.69,2023-11-17
306,10006,569,695.71,2023-10-17
307,8821,230,543.41,2023-05-02
308,4982,938,277.08,2023-08-25
309,8221,156,992.88,2023-08-09
310,1068,678,387.90,2023-03-08
311,6433,652,467.68,2023-04-30
312,2186,609,495.15,2023-01-11
313,5148,292,814.30,2023-04-13
314,7618,460,696.86,2023-02-25
315,9793,574,742.22,2023-02-21
316,6907,543,495.98,2023-07-20
317,1609,256,835.17,2023-02-06
318,5813,696,15.01,2023-08-05
319,9495,281,895.75,2023-10-25
320,6847,970,603.61,2023-03-29
321,2082,444,204.23,2023-11-20
322,1222,92,842.11,2023-10-19
323,10844,946,77.29,2023-04-17
324,7871,873,149.50,2023-04-08
325,2212,790,440.01,2023-01-31
326,3957,492,784.62,2023-06-29
327,1126,86,59.30,2023-04-19
328,4700,571,887.44,2023-03-07
329,10997,913,512.17,2023-12-14
330,2523,740,593.78,2023-03-18
331,7406,867,468.88,2023-08-29
332,8556,809,690.40,2023-11-23
333,5580,379,215.30,2023-10-08
334,7461,578,105.36,2023-11-21
335,10111,377,467.05,2023-09-11
336,7173,515,146.06,2023-07-09
337,4658,964,995.96,2023-05-15
338,8317,669,671.83,2023-06-19
339,9159,907,317.61,2023-06-05
340,4476,78,728.63,2023-04-05
341,2165,997,774.64,2023-04-16
342,8140,930,667.03,2023-01-24
343,5771,385,104.09,2023-04-11
344,1521,610,556.44,2023-03-13
345,7143,940,233.65,2023-02-21
346,4423,815,590.77,2023-04-05
347,2405,612,112.95,2023-03-25
348,2858,549,4.45,2023-03-28
349,2748,908,808.88,2023-05-22
350,6439,967,5.01,2023-03-25
351,10162,658,398.25,2023-08-05
352,6967,649,585.06,2023-01-23
353,7743,886,68.76,2023-12-04
354,2590,909,412.00,2023-08-10
355,2220,522,105.87,2023-12-19
356,3053,10,439.95,2023-03-16
357,8462,473,262.61,2023-12-05
358,4761,335,864.43,2023-07-25
359,1401,452,433.84,2023-08-07
360,1828,924,422.24,2023-11-23
361,2538,400,911.05,2023-11-27
362,6687,339,112.15,2023-10-01
363,10629,628,121.50,2023-02-09
364,4934,502,691.12,2023-12-10
365,2920,836,471.29,2023-03-30
366,6564,484,893.46,2023-06-27
367,5716,845,337.17,2023-10-20
368,2974,142,998.17,2023-07-10
369,1826,307,696.67,2023-06-16
370,10881,765,989.63,2023-03-04
371,9453,81,224.55,2023-06-22
372,1970,228,234.21,2023-01-12
373,8241,716,950.71,2023-05-18
374,6466,582,34.08,2023-08-21
375,9066,979,204.75,2023-03-12
376,9204,85,780.31,2023-05-06
377,4657,413,274.83,2023-12-17
378,2654,223,7.25,2023-03-21
379,4624,196,305.08,2023-05-26
380,5099,211,627.49,2023-01-14
381,2923,340,449.61,2023-12-27
382,5529,667,406.85,2023-08-11
383,9678,327,971.69,2023-01-08
384,2668,676,240.96,2023-08-02
385,5538,560,117.70,2023-02-21
386,6818,752,489.88,2023-11-14
387,9291,787,773.38,2023-06-18
388,7732,308,718.47,2023-08-07
389,6518,449,734.20,2023-10-31
390,6502,319,32.63,2023-08-31
391,2473,406,854.51,2023-04-21
392,9616,957,776.36,2023-08-17
393,9330,898,75.86,2023-09-10
394,10655,7,270.22,2023-12-27
395,6834,94,782.64,2023-03-11
396,10902,253,285.62,2023-02-15
397,4594,304,874.91,2023-09-27
398,8091,777,574.59,2023-03-08
399,9558,583,673.49,2023-05-29
400,5325,964,470.58,2023-11-16
401,3074,198,920.43,2023-04-14
402,8325,481,579.45,2023-08-30
403,8762,238,1.26,2023-03-09
404,3864,807,203.57,2023-07-15
405,6286,769,899.94,2023-02-13
406,9661,414,902.90,2023-06-28
407,2887,382,665.82,2023-11-03
408,1320,205,543.76,2023-03-21
409,5901,32,909.04,2023-12-24
410,4474,968,66.80,2023-01-22
411,6818,514,697.38,2023-05-06
412,6647,794,427.95,2023-06-24
413,2545,733,611.77,2023-11-07
414,6545,886,671.70,2023-04-28
415,8766,511,833.21,2023-06-21
416,9087,675,88.31,2023-09-26
417,2857,248,18.42,2023-06-17
418,5243,521,643.67,2023-03-31
419,1995,978,741.96,2023-01-31
420,7758,146,179.92,2023-07-05
421,7468,141,665.21,2023-04-22
422,10429,344,313.59,2023-05-20
423,1238,329,950.69,2023-07-10
424,6360,594,460.67,2023-10-08
425,10402,625,636.24,2023-08-07
426,9729,891,769.36,2023-05-01
427,8324,129,533.00,2023-09-28
428,7021,149,978.34,2023-12-01
429,9626,393,708.72,2023-08-08
430,1534,953,329.14,2023-05-11
431,6826,803,806.10,2023-01-21
432,9514,898,667.43,2023-08-30
433,4021,125,622.52,2023-01-28
434,6666,777,711.36,2023-09-29
435,6191,10,822.28,2023-08-13
436,1096,342,17.06,2023-04-29
437,5092,456,69.61,2023-12-27
438,7738,320,788.67,2023-10-02
439,8655,851,933.82,2023-12-24
440,6706,48,454.98,2023-04-19
441,1407,241,982.71,2023-12-22
442,1783,399,100.00,2023-09-25
443,7187,949,962.04,2023-10-10
444,3105,810,512.46,2023-11-16
445,5742,880,540.11,2023-07-25
446,9193,473,509.08,2023-04-16
447,3374,767,325.59,2023-04-07
448,10365,626,47.12,2023-07-21
449,10793,10,300.27,2023-10-22
450,2774,199,459.52,2023-08-17
451,10714,672,932.50,2023-03-21
452,2703,366,573.42,2023-04-24
453,7203,334,907.37,2023-06-09
454,9769,205,708.26,2023-05-13
455,9849,368,22.71,2023-12-28
456,6021,480,826.93,2023-06-25
457,7334,543,42.83,2023-07-04
458,1024,985,552.30,2023-09-27
459,3888,787,394.77,2023-09-01
460,10231,799,325.23,2023-05-27
461,2457,368,126.58,2023-03-29
462,8941,148,281.28,2023-02-09
463,4885,455,559.99,2023-11-30
464,2404,845,607.45,2023-10-30
465,6116,761,650.58,2023-06-13
466,1948,589,298.54,2023-11-09
467,4043,110,406.70,2023-04-17
468,7715,739,725.30,2023-09-29
469,8546,889,709.85,2023-01-09
470,10061,264,354.05,2023-03-16
471,3094,329,539.36,2023-07-14
472,7340,822,973.82,2023-05-07
473,1622,235,918.00,2023-05-25
474,1794,459,598.48,2023-01-24
475,1584,431,511.84,2023-09-27
476,4468,363,450.13,2023-02-19
477,6144,617,355.77,2023-04-12
478,7780,173,487.00,2023-06-18
479,3683,357,620.18,2023-02-22
480,7195,514,964.32,2023-01-26
481,1546,241,608.26,2023-03-24
482,6192,95,276.85,2023-10-20
483,6271,830,410.31,2023-08-03
484,5578,761,31.37,2023-12-24
485,3611,693,296.27,2023-10-07
486,7972,932,583.90,2023-11-22
487,3420,722,565.38,2023-07-08
488,3040,741,185.92,2023-08-07
489,5551,164,346.91,2023-12-08
490,1578,323,405.68,2023-03-19
491,10625,742,324.87,2023-11-03
492,7135,126,681.51,2023-01-20
493,1118,629,907.95,2023-03-08
494,4190,333,349.67,2023-08-30
495,10212,86,136.68,2023-08-02
496,2745,752,532.71,2023-06-27
497,5995,580,710.10,2023-03-08
498,6519,69,196.27,2023-05-06
499,2337,621,499.37,2023-01-14
500,10901,185,587.62,2023-05-19
501,1360,949,85.54,2023-09-01
502,8118,489,101.79,2023-08-18
503,5846,95,159.10,2023-12-01
504,7276,896,848.58,2023-11-11
505,4158,389,893.75,2023-12-25
506,6675,895,186.87,2023-05-10
507,9661,603,341.83,2023-06-30
508,10483,810,345.28,2023-09-29
509,9945,174,333.24,2023-12-08
510,3858,787,720.87,2023-05-27
511,6864,904,659.24,2023-08-20
512,5003,172,802.14,2023-04-21
513,9194,13,230.33,2023-05-10
514,3905,992,300.88,2023-04-04
515,10885,466,770.24,2023-04-24
516,10331,522,661.79,2023-05-01
517,8874,320,662.15,2023-09-26
518,7835,13,292.59,2023-03-05
519,6880,981,699.64,2023-11-02
520,1838,522,782.94,2023-08-20
521,8230,161,909.37,2023-05-05
522,5274,489,83.50,2023-12-09
523,6034,299,422.94,2023-05-17
524,3037,430,313.98,2023-05-17
525,5238,124,762.15,2023-10-30
526,3024,668,292.11,2023-03-08
527,6928,615,941.21,2023-10-31
528,5098,458,17.92,2023-04-17
529,4596,666,471.36,2023-08-06
530,3814,661,258.61,2023-06-28
531,5785,808,619.78,2023-01-26
532,9508,495,72.35,2023-05-19
533,6128,44,859.14,2023-05-30
534,7266,467,553.04,2023-04-28
535,4847,950,291.35,2023-12-17
536,6413,968,278.98,2023-10-25
537,5685,53,37.72,2023-02-09
538,2582,238,579.08,2023-08-26
539,2198,951,686.11,2023-06-21
540,6674,766,684.39,2023-04-17
541,1881,85,868.98,2023-08-12
542,3138,49,893.52,2023-03-14
543,2889,395,861.12,2023-11-26
544,5559,798,60.78,2023-12-12
545,3503,142,210.51,2023-03-09
546,9993,23,701.26,2023-08-07
547,4123,524,70.96,2023-11-13
548,9429,190,548.31,2023-12-05
549,2073,650,469.14,2023-07-04
550,6117,179,10.41,2023-12-05
551,10514,737,755.07,2023-07-08
552,3718,411,338.21,2023-07-01
553,4870,642,723.64,2023-10-23
554,6988,139,868.45,2023-09-27
555,5888,172,111.45,2023-03-26
556,9357,482,109.39,2023-07-11
557,2181,372,207.73,2023-07-24
558,8776,318,552.48,2023-07-05
559,4972,550,293.63,2023-06-30
560,10027,823,171.03,2023-02-23
561,3097,212,191.54,2023-05-25
562,1453,790,988.90,2023-04-28
563,10248,700,941.57,2023-08-03
564,1162,93,160.62,2023-08-24
565,1343,194,279.21,2023-08-25
566,1220,209,329.66,2023-12-26
567,7862,422,912.13,2023-04-23
568,8962,179,207.30,2023-02-16
569,8061,75,812.55,2023-07-07
570,10579,240,364.55,2023-06-07
571,8827,567,157.37,2023-04-06
572,3720,290,99.49,2023-12-04
573,5940,792,345.35,2023-11-07
574,8346,750,781.99,2023-12-18
575,6334,152,886.95,2023-01-06
576,7346,830,272.47,2023-04-03
577,2611,260,30.11,2023-01-13
578,8154,986,17.11,2023-09-30
579,7927,347,602.24,2023-04-06
580,8850,413,921.86,2023-08-24
581,2417,701,229.24,2023-01-22
582,10775,285,460.04,2023-10-22
583,9573,944,127.58,2023-05-15
584,6312,465,30.24,2023-04-01
585,3709,590,216.16,2023-08-05
586,8909,874,175.38,2023-05-27
587,3539,889,57.08,2023-01-02
588,2309,300,530.61,2023-02-25
589,5446,964,302.11,2023-01-22
590,9514,288,371.20,2023-04-26
591,10743,441,920.84,2023-07-28
592,8410,697,810.00,2023-05-19
593,8823,479,345.00,2023-01-11
594,3538,898,743.32,2023-06-28
595,8654,716,411.28,2023-03-06
596,1774,113,863.93,2023-02-23
597,2381,557,211.60,2023-07-12
598,7273,803,943.71,2023-04-28
599,6666,949,31.65,2023-07-25
600,4761,595,910.84,2023-07-25
601,9947,39,983.38,2023-05-09
602,5635,315,502.98,2023-06-09
603,9686,428,538.78,2023-03-31
604,8822,164,9.56,2023-06-03
605,3649,633,222.50,2023-06-13
606,5611,58,511.25,2023-02-13
607,9584,359,91.74,2023-04-20
608,4306,543,938.26,2023-12-19
609,3913,317,674.62,2023-10-06
610,8458,339,94.95,2023-01-19
611,10042,323,698.14,2023-10-01
612,3947,811,201.74,2023-07-13
613,9054,168,815.01,2023-12-04
614,8806,991,267.21,2023-12-27
615,9221,969,820.10,2023-03-22
616,4810,673,893.23,2023-02-13
617,2230,194,628.39,2023-05-08
618,8769,200,468.65,2023-11-19
619,7144,955,387.14,2023-06-05
620,6700,706,292.43,2023-12-04
621,3886,708,954.72,2023-03-25
622,7954,4,370.99,2023-07-13
623,10208,766,924.70,2023-11-20
624,4766,757,88.97,2023-04-01
625,5382,641,288.80,2023-11-13
626,5183,544,724.00,2023-12-20
627,7290,439,73.15,2023-02-10
628,5034,422,750.31,2023-10-06
629,9870,187,93.50,2023-06-26
630,4166,624,707.91,2023-12-26
631,3641,964,621.50,2023-02-23
632,10203,212,760.56,2023-09-07
633,10000,885,474.12,2023-06-08
634,10018,838,586.27,2023-10-28
635,10200,515,479.22,2023-04-10
636,3462,191,882.20,2023-11-16
637,5266,465,704.66,2023-01-10
638,10790,773,937.51,2023-04-06
639,6561,579,761.60,2023-03-14
640,5522,665,763.95,2023-09-12
641,7171,941,498.45,2023-10-18
642,6998,603,121.65,2023-10-21
643,9587,957,154.01,2023-01-23
644,3921,515,759.22,2023-01-12
645,4207,840,35.84,2023-04-24
646,7631,345,436.70,2023-11-28
647,7819,280,797.28,2023-08-06
648,5019,649,382.79,2023-12-13
649,9212,187,360.43,2023-07-09
650,10259,841,510.13,2023-05-06
651,2364,539,420.28,2023-01-30
652,3283,51,26.55,2023-12-26
653,8328,581,634.71,2023-07-31
654,2253,711,662.44,2023-07-04
655,1670,100,352.85,2023-03-16
656,5072,57,782.47,2023-03-20
657,8484,304,631.92,2023-02-06
658,7081,273,454.45,2023-12-10
659,4435,985,682.51,2023-08-24
660,1614,250,438.02,2023-08-08
661,2338,21,897.49,2023-06-25
662,1231,935,390.99,2023-04-28
663,3598,119,691.34,2023-07-08
664,3423,260,888.05,2023-05-27
665,1956,591,413.80,2023-08-06
666,8140,219,990.11,2023-07-22
667,10499,941,346.10,2023-11-02
668,4488,486,913.45,2023-10-21
669,5657,590,839.88,2023-07-26
670,4780,612,615.09,2023-10-14
671,4585,420,0.47,2023-06-27
672,10363,668,396.58,2023-06-07
673,4440,560,330.40,2023-10-03
674,8257,709,630.60,2023-05-25
675,3636,583,968.29,2023-09-08
676,9194,462,561.29,2023-02-21
677,6860,627,454.81,2023-09-17
678,4563,840,145.56,2023-12-18
679,2367,572,768.85,2023-10-02
680,1939,672,645.38,2023-09-17
681,2693,10,92.57,2023-08-19
682,7558,226,356.28,2023-10-10
683,1741,649,948.21,2023-01-01
684,2465,561,173.32,2023-11-06
685,9145,641,469.95,2023-03-26
686,5987,487,38.60,2023-03-21
687,10442,418,622.80,2023-07-27
688,3289,402,229.24,2023-09-20
689,5775,591,494.99,2023-07-09
690,9201,8,610.44,2023-04-01
691,9081,8,63.95,2023-01-05
692,9353,675,70.56,2023-02-15
693,1922,252,235.75,2023-03-15
694,10177,755,651.50,2023-09-22
695,3720,675,105.09,2023-04-16
696,9900,245,996.97,2023-08-31
697,10081,65,517.08,2023-09-16
698,8466,566,651.87,2023-07-25
699,8502,948,188.77,2023-11-09
700,2976,918,325.44,2023-06-17
701,10179,142,539.14,2023-06-03
702,8190,62,858.43,2023-07-15
703,7890,18,795.22,2023-11-16
704,5245,237,930.19,2023-02-26
705,7948,295,722.82,2023-04-20
706,8435,998,767.41,2023-07-04
707,4603,413,965.19,2023-01-06
708,2618,208,439.37,2023-05-09
709,10896,180,420.42,2023-08-26
710,9469,732,437.58,2023-11-03
711,5936,473,319.34,2023-08-07
712,1171,851,511.87,2023-12-09
713,2187,63,185.87,2023-03-03
714,6318,292,55.33,2023-02-13
715,6608,405,678.65,2023-07-01
716,4488,524,692.38,2023-03-27
717,5981,511,689.86,2023-08-19
718,8796,824,976.79,2023-01-12
719,6524,287,904.43,2023-09-28
720,2823,156,14.47,2023-09-30
721,3916,912,252.57,2023-08-15
722,7049,687,578.32,2023-08-11
723,5858,515,989.68,2023-10-16
724,8294,6,899.34,2023-01-30
725,9778,267,202.43,2023-04-15
726,8564,601,163.18,2023-08-20
727,6685,474,98.47,2023-07-28
728,6962,386,444.94,2023-05-20
729,2457,443,322.91,2023-05-09
730,2951,901,195.81,2023-07-09
731,7611,936,841.89,2023-02-05
732,2411,371,509.19,2023-04-01
733,4934,220,946.66,2023-10-04
734,10772,881,350.22,2023-01-25
735,5305,56,559.56,2023-04-15
736,3494,392,168.74,2023-11-06
737,7222,980,136.18,2023-09-25
738,7958,384,747.22,2023-04-02
739,10331,584,608.43,2023-03-09
740,9093,690,512.83,2023-03-08
741,6979,659,922.36,2023-12-30
742,7480,676,640.27,2023-11-30
743,8495,364,84.17,2023-06-10
744,5708,53,386.04,2023-05-20
745,4845,303,214.81,2023-07-20
746,1109,323,225.90,2023-09-29
747,2985,416,694.90,2023-09-18
748,8288,491,13.31,2023-05-04
749,4338,568,689.73,2023-03-18
750,6619,943,593.13,2023-04-12
751,7699,743,738.88,2023-04-01
752,1101,784,475.16,2023-06-07
753,2098,910,754.89,2023-09-28
754,4322,230,99.03,2023-07-23
755,1789,272,526.20,2023-06-22
756,4708,246,439.46,2023-02-24
757,1544,233,163.02,2023-10-26
758,6372,124,12.16,2023-12-07
759,9216,544,168.67,2023-10-03
760,6239,889,509.32,2023-05-14
761,1578,224,931.28,2023-04-02
762,3617,80,918.38,2023-09-17
763,10216,828,149.97,2023-12-26
764,3153,467,87.46,2023-03-03
765,9559,404,259.69,2023-01-27
766,6401,662,694.13,2023-02-09
767,8402,177,753.22,2023-03-19
768,9227,170,358.40,2023-10-28
769,7431,4,661.00,2023-11-13
770,4651,746,153.98,2023-05-19
771,3492,396,485.70,2023-02-06
772,10927,987,165.57,2023-09-09
773,8149,730,642.34,2023-04-05
774,1666,916,740.16,2023-09-13
775,1930,263,199.18,2023-12-01
